LIEN FICHE DE POSTE,Ministère,Administration,Région,"Localisation
(Commune ou adresse exacte)",Code postal,Env.,Référence,Intitulé du poste,Cotation du poste (Groupe RIFSEEP),Thématique,Service,Bureau / Pôle,Logé,Télétravail,Encadrement,Complément
https://extranet-lille.les-ira.fr/secure_telechargement.php?quoi=document&chemin=poste/60-fiche-agri-AC-01.pdf,Agriculture - Alimentation,"Ministère de l'Agriculture, de l'agroalimentaire et de la souveraineté alimentaire",Île-de-France,Paris,75007,AC,agri-AC-01,Chargé de mission référent juridique - Réseau RH,G4,RH,Secrétariat général / Service des Ressources Humaines,Bureau des politiques statutaires et réglementaires,NON,OUI,NON,
https://extranet-lille.les-ira.fr/secure_telechargement.php?quoi=document&chemin=poste/60-fiche-agri-AC-02.pdf,Agriculture - Alimentation,"Ministère de l'Agriculture, de l'agroalimentaire et de la souveraineté alimentaire",Île-de-France,Paris,75007,AC,agri-AC-02,Chargé de mission Primes,G4,RH,Secrétariat général / Service des Ressources Humaines,Bureau du pilotage des rémunérations / Sous-direction de la gestion des carrières et de la rémunération,NON,OUI,NON,
https://extranet-lille.les-ira.fr/secure_telechargement.php?quoi=document&chemin=poste/60-fiche-agri-AC-03.pdf,Agriculture - Alimentation,"Ministère de l'Agriculture, de l'agroalimentaire et de la souveraineté alimentaire",Île-de-France,Paris,75007,AC,agri-AC-03,Chargé de mission Juriste prestations sociales agricoles,G4,Juridique,"Secrétariat général / Service des affaires financières, sociales et logistiques",Bureau des prestations sociales agricoles / Sous-direction du travail et de la protection sociale,NON,OUI,NON,
https://extranet-lille.les-ira.fr/secure_telechargement.php?quoi=document&chemin=poste/60-fiche-agri-AC-04.pdf,Agriculture - Alimentation,"Ministère de l'Agriculture, de l'agroalimentaire et de la souveraineté alimentaire",Île-de-France,Paris,75007,AC,agri-AC-04,Chargé(e) de concours,G4,RH,Service des Ressources Humaines,Bureau des concours et des examens professionnels / Sous-direction du développement professionnel et des relations sociales,NON,OUI,NON,
https://extranet-lille.les-ira.fr/secure_telechargement.php?quoi=document&chemin=poste/60-fiche-agri-AC-08.pdf,Agriculture - Alimentation,"Ministère de l'Agriculture, de l'agroalimentaire et de la souveraineté alimentaire",Île-de-France,Paris,75007,AC,agri-AC-08,Chargé de mission affaires financières,G4,Budget/Finances,"Direction générale de l'enseignement et de la recherche / Service de l’enseignement supérieur, de la recherche et de l’innovation",Bureau des établissements et des contrats / Sous-direction de l'enseignement supérieur,NON,OUI,NON,
https://extranet-lille.les-ira.fr/secure_telechargement.php?quoi=document&chemin=poste/60-fiche-agri-AC-09.pdf,Agriculture - Alimentation,"Ministère de l'Agriculture, de l'agroalimentaire et de la souveraineté alimentaire",Île-de-France,Paris,75007,AC,agri-AC-09,"Chargé.e de mission « relations de gestion, analyse budgétaire et suivi de la
formation de l’enseignement agricole technique »",Non renseigné,Budget/Finances,Direction générale de l'enseignement et de la recherche / Service de l'enseignement technique,"Bureau du pilotage du programme 143 et des relations de gestion (B2P) / Sous-direction des établissements, des dotations et des compétences",NON,"OUI
(limite de 2j/sem)",NON,
https://extranet-lille.les-ira.fr/secure_telechargement.php?quoi=document&chemin=poste/60-fiche-agri-AC-10.pdf,Agriculture - Alimentation,"Ministère de l'Agriculture, de l'agroalimentaire et de la souveraineté alimentaire",Île-de-France,Paris,75007,AC,agri-AC-10,Chargé de mission Gouvernance du PSN PAC,G4,Pol. Publiques,Direction générale de la performance économique et environnementale des entreprises / Service Gouvernance et gestion de la PAC,Bureau Coordination du développement rural / Sous-direction Gestion des aides de la PAC,NON,OUI,NON,
https://extranet-lille.les-ira.fr/secure_telechargement.php?quoi=document&chemin=poste/60-fiche-agri-AC-11.pdf,Agriculture - Alimentation,"Ministère de l'Agriculture, de l'agroalimentaire et de la souveraineté alimentaire",Île-de-France,Paris,75007,AC,agri-AC-11,Chargé de mission Instruments financiers,G4,Budget/Finances,Direction générale de la performance économique et environnementale des entreprises / Service développement des filières et de l'emploi,"Bureau Entreprises forestières et industries du bois / Sous-direction Filières forêt-bois, cheval et bioéconomie",NON,NON,NON,
https://extranet-lille.les-ira.fr/secure_telechargement.php?quoi=document&chemin=poste/60-fiche-agri-ATE-12.pdf,Agriculture - Alimentation,"Ministère de l'Agriculture, de l'agroalimentaire et de la souveraineté alimentaire",Île-de-France,Paris,75015,ATE,agri-ATE-12,Chargé de mission appui juridique et contentieux,G4,Juridique,"Direction Régionale et Interdépartementale de l’Alimentation, de l’Agriculture et de la Forêt de d'Ile-de-France",Service régional de l'alimentation,NON,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-01,"Chargé(e) d'études à la section ""Relations avec les organismes de contrôle""",,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-02,"Chargé(e) d'études à la section ""Contrôle interne financier"" ",,Audit / Contrôle interne,Direction des affaires financières,SGA ,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-03,Chargé(e) d'études Contrôle interne financier,,Audit / Contrôle interne,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-04,Chargé(e) d'études Contrôle interne financier,,Audit / Contrôle interne,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-05,Chargé(e) d'études au sein du bureau de la programmation et du pilotage budgétaire,,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/file/d/1w_x1Dh-qg70eSDppV_mWBzdYjQKnYD3O/view?usp=drive_link,Armées,SERVICE D’INFRASTRUCTURE DE LA DEFENSE IDF,Île-de-France,"Fort de Montrouge - 16 bis Avenue Prieur de la 
Cote d Or 
Arcueil",94110,ATE,arm-ATE-52,ACHETEUR NEGOCIATEUR CHARGE D’AFFAIRES,G3,Achats,Service d'infrastructure de la defense atlantique IDF,"Sous direction Achats, exécution budgétaire et comptabilité",Possibilité d’accès au parc de logement du ministère.,OUI,NON,Permis B souhaité
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-06,Chargé(e) d'études au sein du bureau de l'exécution budgétaire,,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-07,"Chargé(e) d'études ""opérateurs"" au bureau des opérateurs",,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/file/d/1PYV9qVoGbSB-pX1e_QNeLM2IlsACVoUr/view?usp=drive_link,Armées,COMMISSARIAT AU NUMÉRIQUE DE DÉFENSE - CENTRE D’INGÉNIERIE CONTRACTUELLE ET LOGISTIQUE,Île-de-France,Le Kremlin-Bicêtre,94,ATE,arm-ATE-55,ACHETEUR MARCHES COMPLEXES,,Achats,,,,,,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-08,"Chargé(e) d'études ""opérateurs"" au bureau des opérateurs",,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-09,Chargé(e) de support comptabilité analytique,,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-10,Analyse budgétaire junior au sein de la section programme d'armement,,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-11,Analyste budgétaire junior au sein de la section infrastructures - SIC et études,,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-12,Analyste budgétaire junior au sein de la section programme 169,,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-13,Analyste budgétaire junior au sein de la section programme 169,,Budget/Finances,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-14,"Chargé(e) d'études à la section ""effectifs"" ",,RH,Direction des affaires financières,SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Paris,75,AC,arm-AC-15,"Chargé(e) de mission synthèse, performance et gouvernance de la politique du logement dans l'hexagone",,Pol. Publiques,"Direction des territoires, de l'immobilier et de l'environnement",SGA,Possibilité d’accès au parc de logement du ministère.,OUI,NON,
https://drive.google.com/drive/u/1/folders/12APWKy30_Xp9nuuGMw2V67iTE5KA2KEM,Armées,Ministère des Armées,Île-de-France,Arcueil,94110,AC,arm-AC-16,Rapporteur auprès de la Commission de recours de l'invalidité ,,Juridique,Cabinet du ministre,Commission de recours de l'invalidité,Oui,OUI,NON,
